,head,spine,chest,abdomen/pelvis,extremity,other
10_15.pdf,0,0,0,14,0,9
10_16.pdf,6,0,4,9,1,1
10_17.pdf,0,0,0,26,0,2
10_18.pdf,0,0,0,12,0,2
10_19.pdf,0,0,0,12,0,2
10_20.pdf,0,0,4,7,0,3
11_01.pdf,0,0,2,13,0,0
11_02.pdf,0,0,4,20,0,0
11_03.pdf,0,0,18,16,0,2
11_04.pdf,0,1,6,0,0,4
11_05.pdf,0,0,0,0,24,0
11_06.pdf,0,1,7,7,0,1
11_07.pdf,0,0,0,10,0,0
11_08.pdf,0,0,0,18,0,0
11_09.pdf,0,0,0,0,15,0
11_10.pdf,0,0,0,0,36,0
11_11.pdf,0,1,17,8,0,2
11_12.pdf,0,0,0,24,0,8
11_13.pdf,12,0,0,0,0,2
11_14.pdf,0,0,1,9,0,0
11_15.pdf,0,0,0,0,0,44
11_16.pdf,0,0,0,12,0,2
11_17.pdf,0,0,0,0,5,0
11_18.pdf,0,0,0,4,5,0
11_19.pdf,0,1,15,7,0,1
11_20.pdf,0,0,1,0,6,0
11_21.pdf,0,2,27,14,0,3
11_22.pdf,0,0,36,0,6,3
11_23.pdf,0,0,0,0,5,0
12_01.pdf,0,0,4,20,0,0
12_02.pdf,0,0,18,16,0,2
12_03.pdf,2,17,0,0,2,29
12_04.pdf,0,0,0,0,0,62
12_05.pdf,0,0,6,0,0,70
12_06.pdf,0,0,0,0,0,40
12_07.pdf,0,0,0,0,0,72
12_08.pdf,0,0,0,4,3,38
12_09.pdf,0,0,0,0,0,13
12_10.pdf,0,1,0,3,0,45
12_11.pdf,0,0,0,12,0,14
12_12.pdf,0,0,0,0,0,44
12_13.pdf,0,0,0,0,0,22
12_14.pdf,0,0,19,0,0,45
12_15.pdf,0,0,0,0,0,30
12_16.pdf,0,0,0,12,0,30
12_17.pdf,0,0,0,0,0,32
12_18.pdf,0,2,27,14,0,3
